codigo_estacao,latitude,longitude,n_dias,inmet_p95,inmet_p99,inmet_max,era5_p95,era5_p99,era5_max
A630,-21.9506,-42.0103,2366,9.4,11.3,18.7,12.799325,15.398196,20.1898
A631,-18.2914,-40.7364,2674,12.4,14.9,48.6,11.398789,12.806674,16.8295
A632,-19.4072,-40.5397,2989,11.1,13.812012,46.3,11.41474,12.972244,16.6369
A633,-20.3856,-41.19,2330,9.2,10.9,18.4,11.525465,13.3788595,17.682
A634,-20.4669,-40.4039,2978,14.21499,15.622998,20.3,13.356979,14.990936,17.2256
A635,-22.3739,-44.7031,1406,17.4,22.990015,31.0,14.687349,19.49693,24.31
A636,-22.94,-43.4028,2964,11.6,15.237012,30.0,12.629344,15.9292555,19.8705
A637,-22.3472,-43.4178,1064,10.184998,13.374,19.3,12.230655,13.740221,17.5259
A652,-22.9883,-43.1906,6628,17.8,22.3,34.1,12.739705,15.115612,19.9633
A654,-22.987,-43.3701,2117,13.8,17.08401,27.2,12.864079,15.112179,18.6022
A657,-20.1042,-41.1069,4806,12.4,16.8,40.0,11.84575,14.237838,17.4075
A659,-22.6458,-42.4156,3689,11.3,13.4,23.6,12.335579,14.239231,20.061
A667,-22.8711,-42.6089,3653,13.23999,17.2,27.0,12.340139,14.2181,20.061
A701,-23.4963,-46.6201,6968,14.2,18.2,28.2,13.944879,17.182487,24.8011
A702,-20.4472,-54.7225,8027,15.8,19.6,28.4,13.341437,16.33872,23.7704
A703,-22.5525,-55.7164,6575,14.6,17.5,22.6,15.153388,18.37078,26.5583
A704,-20.795,-51.7133,6332,13.5,17.137989,25.1,11.370854,13.5955515,23.2133
A705,-22.3581,-49.0289,7737,12.7,16.564014,24.7,12.99838,15.0500145,23.4712
A706,-22.7503,-45.6039,3361,11.5,14.7,18.9,12.1651,15.8460245,22.45
A707,-22.12,-51.4086,7625,13.4,17.1,24.0,12.183319,14.291228,26.0316
A708,-20.5844,-47.3825,7334,12.9,15.6,23.3,12.28508,14.093153,17.3681
A709,-22.3006,-53.8228,7055,16.0,19.945995,36.1,12.60751,15.51519,22.2131
A710,-19.6956,-51.1817,5109,15.1,19.391993,31.3,11.655881,13.553434,20.3493
A711,-21.9803,-47.8839,6537,13.1,16.1,24.3,13.16892,15.650724,23.9524
A712,-24.6717,-47.5458,6180,13.1,16.120996,24.7,12.874397,15.444489,20.6101
A713,-23.4261,-47.5856,6391,14.7,19.01001,25.4,13.634,15.912414,25.117
A714,-23.9819,-48.8858,6827,14.8,18.9,24.7,13.74533,15.857244,23.5602
A715,-23.8908,-47.9992,6222,14.9,19.479004,24.7,14.129403,17.390984,25.906
A716,-23.0006,-49.8433,5765,14.1,19.571974,35.0,12.989618,15.206915,23.7953
A717,-18.9886,-56.6228,5327,15.2,18.9,24.4,13.436937,16.077131,20.207
A718,-22.3728,-50.9747,6613,14.73999,18.8,24.8,12.329981,14.075191,25.14
A719,-20.4756,-55.7839,5652,13.7,17.1,22.4,13.533429,16.325304,22.1188
A720,-18.5122,-54.7361,6727,13.6,17.0,24.3,11.751259,13.782932,21.5482
A721,-22.1939,-54.9114,5858,15.2,19.0,29.5,13.7286,17.110624,25.3835
A722,-20.3956,-56.4317,5682,12.8,16.1,24.2,13.368866,16.408813,22.1569
A723,-21.7058,-57.8867,5764,14.8,17.8,24.1,15.929825,18.804436,23.5295
A724,-18.9967,-57.6375,5791,15.6,19.1,40.3,14.0562,16.576069,20.9211
A725,-23.1017,-48.9411,6068,14.3,17.8,25.0,13.453284,15.589106,24.2212
A726,-22.7031,-47.6233,6202,15.0,19.799023,26.4,12.604679,14.66276,23.3784
A727,-21.6661,-49.7347,6589,13.1,16.8,24.9,12.3023815,14.19703,21.9213
A728,-23.0417,-45.5208,6412,13.8,18.4,24.7,11.419495,14.390674,22.349
A729,-20.4033,-49.9661,5093,14.2,18.7,23.5,11.9377,13.630099,19.6956
A730,-18.8022,-52.6025,5821,15.0,18.8,24.6,11.7997,14.206597,21.8093
A731,-21.6092,-55.1775,4833,13.8,17.468018,23.9,14.069099,17.3433,24.9184
A732,-19.4203,-54.5531,6169,15.9,19.431982,25.0,12.81734,15.383574,21.9042
A733,-20.165,-50.595,6387,15.2,19.4,25.0,11.94254,13.6321745,21.2232
A734,-21.3192,-50.9303,6088,15.0,19.712988,28.6,11.78089,13.959902,23.515
A735,-21.0856,-49.9203,5316,15.3,19.4,24.6,11.758625,13.72547,21.7133
A736,-21.1331,-48.8406,6412,14.1,18.1,24.9,11.9801035,13.799292,21.2307
A737,-21.8556,-48.7997,6100,14.0,17.4,24.8,12.115278,14.0728035,22.5474
A738,-21.7806,-47.0753,6180,13.0,16.120996,24.7,12.111454,14.181878,18.4251
A739,-22.415,-46.8053,5304,12.1,15.5,24.7,11.946006,14.651828,22.0444
A740,-23.2283,-45.4169,5514,13.9,18.974024,27.8,11.874016,14.915979,21.0476
A741,-22.4711,-48.5575,5487,15.0,17.8,24.7,13.880019,15.930368,23.4028
A742,-19.1225,-51.7208,5469,13.9,18.131983,24.8,11.206921,13.063188,21.6394
