cluster_id,n_stations,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
4,8,PoissonRegressor,0.29269488720513326,0.2950826388987394,2.860038743295498,0.009099483489990234
4,8,TransformedTargetRegressor,0.292465163325918,0.29485369053149446,2.860503158046419,0.008253812789916992
4,8,LinearRegression,0.292465163325918,0.29485369053149446,2.860503158046419,0.005728960037231445
4,8,Lars,0.292465163325918,0.29485369053149446,2.860503158046419,0.008382797241210938
4,8,Ridge,0.2924588979118531,0.2948474462684898,2.8605158232864283,0.009189367294311523
4,8,LassoLarsIC,0.29241966375852435,0.29480834456354066,2.8605951320080667,0.007134437561035156
4,8,RidgeCV,0.2924018919007354,0.29479063270077044,2.860631055682073,0.008583307266235352
4,8,BayesianRidge,0.29238131673446455,0.2947701269930504,2.860672645343692,0.006385326385498047
4,8,HuberRegressor,0.27952542478589915,0.2819576345296827,2.886541776835012,0.013928413391113281
4,8,LinearSVR,0.27370371434316576,0.2761555772729901,2.898180494233358,0.02326345443725586
4,8,OrthogonalMatchingPursuitCV,0.25578841773005223,0.2583007599057573,2.93370695175607,0.015604972839355469
4,8,TweedieRegressor,0.20203447832107446,0.20472828540851273,3.03780981549083,0.006423234939575195
4,8,ElasticNetCV,0.20031132360502646,0.20301094779390683,3.0410880231711874,0.028671979904174805
4,8,OrthogonalMatchingPursuit,0.13941389819971484,0.1423191025943895,3.1547553217700193,0.007387876510620117
4,8,LarsCV,0.13644906100844778,0.13936427423084996,3.160184931807538,0.021913528442382812
4,8,LassoLarsCV,0.13644906100844778,0.13936427423084996,3.160184931807538,0.01367807388305664
4,8,LassoCV,0.13443998041967253,0.1373619759846475,3.1638589349131423,0.03360128402709961
4,8,ElasticNet,0.10256725078229367,0.10559684370913525,3.221584109948543,0.0054857730865478516
4,8,Lasso,0.07843862526275924,0.08154967266434787,3.2646050610554522,0.00656890869140625
4,8,LassoLars,0.07843862526275913,0.08154967266434776,3.2646050610554522,0.006829261779785156
4,8,DummyRegressor,-0.0033901014977657518,-2.8130831071226936e-06,3.4064610207441226,0.004896879196166992
4,8,DecisionTreeRegressor,-0.008981088565131579,-0.005574925850545531,3.415938402636042,0.06499433517456055
4,8,QuantileRegressor,-0.021716454495301907,-0.018267299172549434,3.43742880077609,1.3564305305480957
4,8,ExtraTreeRegressor,-0.06475310770825704,-0.06115866735965447,3.5090776276359867,0.023022890090942383
4,8,AdaBoostRegressor,-0.14088713155115506,-0.13703567461793642,3.6323681453220105,0.4671494960784912
4,8,PassiveAggressiveRegressor,-0.24581488902312176,-0.2416092123535012,3.7957296826053186,0.008458852767944336
4,8,RANSACRegressor,-0.34983535791291986,-0.34527852437157835,3.951017175240336,0.04477357864379883
4,8,GaussianProcessRegressor,-5.669452685358838,-5.646937653787859,8.782408131702738,8.598958730697632
4,8,KernelRidge,-6.330020804175581,-6.3052757977098715,9.207063135182434,4.345746040344238
5,3,MLPRegressor,0.25982907501415,0.26643774398723785,2.5238452946984693,0.6464598178863525
5,3,LinearRegression,0.24817746452719802,0.2548901657367766,2.543632639908951,0.004833221435546875
5,3,TransformedTargetRegressor,0.24817746452719802,0.2548901657367766,2.543632639908951,0.008604049682617188
5,3,Lars,0.24817746452719625,0.2548901657367748,2.543632639908954,0.00609588623046875
5,3,LassoLarsIC,0.24817746452719613,0.2548901657367747,2.5436326399089544,0.0063610076904296875
5,3,RidgeCV,0.248154147907092,0.25486705730077863,2.5436720830310438,0.008002758026123047
5,3,Ridge,0.24764448415949025,0.2543619441223519,2.544534093383565,0.006826162338256836
5,3,BayesianRidge,0.24448778172275143,0.2512334265287982,2.549866631655554,0.006851911544799805
5,3,GradientBoostingRegressor,0.24114471832222462,0.24792021190863323,2.5555018527366156,0.47604990005493164
5,3,OrthogonalMatchingPursuitCV,0.24100299647930346,0.24777975543930963,2.5557404710430163,0.008219480514526367
5,3,NuSVR,0.23804551930882178,0.24484868431499296,2.5607149276565426,0.15751361846923828
5,3,SGDRegressor,0.23515745934943,0.24198641060523862,2.565563316792404,0.007816314697265625
5,3,SVR,0.23429592602861293,0.24113256954621454,2.56700786000275,0.27516603469848633
5,3,PoissonRegressor,0.23040056765463846,0.23727199115772202,2.5735291328211645,0.006453990936279297
5,3,HuberRegressor,0.22670589316584,0.23361030483400202,2.579699204859622,0.010183334350585938
5,3,LinearSVR,0.20933148011570646,0.21639102047181613,2.6085186342969777,0.010741949081420898
5,3,AdaBoostRegressor,0.19588460279831676,0.20306420455904606,2.630606619379215,0.18001055717468262
5,3,CatBoostRegressor,0.19518411032057037,0.20236996647842231,2.631752175735761,1.2626831531524658
5,3,ElasticNetCV,0.19289914283272658,0.20010540048600578,2.635485455636264,0.03488349914550781
5,3,LassoLarsCV,0.19168610057032687,0.19890318895809178,2.6374652298411836,0.01164865493774414
5,3,LarsCV,0.19168610057032687,0.19890318895809178,2.6374652298411836,0.00953054428100586
5,3,LassoCV,0.19144784337994836,0.1986670590640559,2.6378539085194133,0.04956769943237305
5,3,LGBMRegressor,0.19072492240726802,0.19795059274291738,2.639032888649642,0.25684309005737305
5,3,RandomForestRegressor,0.19019939530987007,0.1974297578517461,2.6398896172526785,1.2571876049041748
5,3,ExtraTreesRegressor,0.18628216952065102,0.19354750729278802,2.646266846520408,0.5565457344055176
5,3,HistGradientBoostingRegressor,0.1829734966791854,0.1902683761731212,2.6516414054952997,0.3888578414916992
5,3,TweedieRegressor,0.15226777073806996,0.15983680849933712,2.7010092210780936,0.007933378219604492
5,3,BaggingRegressor,0.1301636837081923,0.13793007938936908,2.735996184917851,0.13644003868103027
5,3,OrthogonalMatchingPursuit,0.07995504225902172,0.08816972938170897,2.8138519558876807,0.008343219757080078
5,3,KNeighborsRegressor,0.05570133663329757,0.06413257469907163,2.850699286526062,0.012614727020263672
5,3,XGBRegressor,0.04975884729870739,0.058243143304968825,2.8596549712920245,0.16277766227722168
5,3,ElasticNet,0.019226193173366046,0.02798310216288946,2.905234206549111,0.006917476654052734
5,3,Lasso,-0.09274054525189324,-0.08298393324071562,3.0665867038270003,0.005115032196044922
5,3,DummyRegressor,-0.09274054525189324,-0.08298393324071562,3.0665867038270003,0.0061566829681396484
5,3,LassoLars,-0.09274054525189324,-0.08298393324071562,3.0665867038270003,0.005055665969848633
5,3,QuantileRegressor,-0.14362104064770143,-0.13341013849906136,3.137168084070505,0.1748046875
5,3,RANSACRegressor,-0.2212312028258654,-0.21032735280063464,3.241870523303604,0.04391598701477051
5,3,PassiveAggressiveRegressor,-0.23288793136746255,-0.22188000340882463,3.257305707218799,0.006219625473022461
5,3,DecisionTreeRegressor,-0.5969730861245537,-0.5827143978555847,3.7071957457523177,0.026154518127441406
5,3,ExtraTreeRegressor,-0.7260715299501874,-0.7106601770042038,3.8541278246062833,0.00971221923828125
5,3,KernelRidge,-6.653236463722886,-6.584903995296789,8.11557481203398,0.24813318252563477
5,3,GaussianProcessRegressor,-10.516240453479872,-10.413416878002375,9.955247959197894,0.5317857265472412
6,1,SGDRegressor,0.3700039284113381,0.3855807543572116,2.7105880968023057,0.0065534114837646484
