feature,importance,std,cluster_id
day_cos,0.06797961365543352,0.011787209890360795,4
day_sin,0.05502203288260378,0.012881879408691784,4
lag1_wind_mag_max,0.043833263758117066,0.011526241521387183,4
wind_mag_min,0.04364699929193832,0.010249409161140874,4
pressure_tendency,0.025722137300603087,0.011654129395745297,4
2m_dewpoint_temperature,8.227613347931642,0.3554279847170998,5
2m_temperature,6.9256875255079295,0.23630068443155722,5
relative_humidity,1.8347483069717316,0.08184395176741094,5
wind_mag,1.5906597414731727,0.07208079694993327,5
wind_mag_max,0.4943130230961145,0.04090956537732094,5
total_precipitation,0.37519294198936276,0.04328067016349427,5
gust_factor,0.3660098816363446,0.022439106342602957,5
10m_u_component_of_wind,0.14477662311516912,0.032543139110017494,5
t2m_range,0.1356056644335116,0.033051157355151614,5
day_cos,0.1212608440324873,0.02025353878874938,5
wind_mag_min,0.09962856252264331,0.0132387240494426,5
lag1_wind_mag_max,0.08528082384453321,0.033690320105001,5
wind_mag_std,0.06501852306105846,0.02090059259635568,5
10m_v_component_of_wind,0.013491663757980535,0.01833165919748453,5
surface_pressure,0.011923380224082295,0.0258409027082812,5
pressure_tendency,-0.0056042821254236545,0.016860284772821567,5
day_sin,-0.02400480080632874,0.031630418369047265,5
2m_dewpoint_temperature,2.6022568495476297,0.25867747618245746,6
wind_mag,2.5357412911352224,0.21205517932894605,6
wind_mag_max,2.388567236527073,0.18736944900652885,6
2m_temperature,2.3794675254340563,0.23563196651178756,6
relative_humidity,1.6303580305533596,0.17178265432519146,6
gust_factor,0.4400653194810361,0.07400488272935872,6
total_precipitation,0.43636225825327374,0.03586410757496854,6
10m_v_component_of_wind,0.3099179313847666,0.05194909883115292,6
wind_mag_std,0.2824912243312866,0.05699004463584918,6
wind_mag_min,0.26377507474042255,0.054839781995369985,6
surface_pressure,0.10130983244594871,0.02196597750040159,6
pressure_tendency,0.06423961091740321,0.022697611486523522,6
day_sin,0.046474794477858405,0.01627181767995267,6
10m_u_component_of_wind,0.045116745445759936,0.022419800595553003,6
day_cos,0.03868155113521731,0.025025886817590267,6
lag1_wind_mag_max,0.03337411071419234,0.02239220419105126,6
t2m_range,0.03223139470028608,0.024693075452285686,6
