cluster_id,n_stations,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,R2_deploy_mean,R2_deploy_std,R2_deploy_min,season
1,5,TweedieRegressor,0.6113225757475109,0.6191614481694098,2.46463123985897,0.026973009109497,,,,
1,5,BaggingRegressor,0.611265718602916,0.6191057377235295,2.4648115008693323,1.6013994216918943,,,,
1,5,KNeighborsRegressor,0.5945436219025795,0.6027208933936199,2.517267444916369,0.1046266555786132,,,,
1,5,ElasticNet,0.5579451839047229,0.5668605751537032,2.628423577273593,0.0271954536437988,,,,
1,5,RANSACRegressor,0.5257166302665905,0.5352820091519702,2.722552350855952,0.2017405033111572,,,,
1,5,PassiveAggressiveRegressor,0.5099088863734378,0.51979307690036,2.767551460056483,0.033414602279663,,,,
1,5,LassoLars,0.4696458581927161,0.4803420761787453,2.8789907756035094,0.0246069431304931,,,,
1,5,Lasso,0.4696317253448432,0.4803282283630984,2.879029134941535,0.0247001647949218,,,,
1,5,AdaBoostRegressor,0.440694119388742,0.4519742379893051,2.956527914146122,2.0691702365875244,,,,
1,5,ExtraTreeRegressor,0.3891549523114745,0.40147451629847,3.089746291212817,0.0819752216339111,,,,
1,5,DecisionTreeRegressor,0.3831146532068874,0.3955560383522947,3.1049850834490145,0.2805817127227783,,,,
1,5,DummyRegressor,-0.0207108186004574,-0.0001250541917088,3.9940054203860207,0.0202667713165283,,,,
1,5,QuantileRegressor,-0.048075659498346,-0.0269379991387155,4.047190141359009,2.545024871826172,,,,
1,5,LinearSVR,0.577304293220262,0.6112709125150624,2.136094122272233,0.0772933959960937,0.5862,0.0351,0.5574,DJF
1,5,PoissonRegressor,0.5677409813685109,0.6024760810799699,2.16012308484574,0.0272910594940185,0.5769,0.0284,0.5545,DJF
1,5,HuberRegressor,0.5666226790407528,0.6014476423321209,2.16291551968845,0.0997259616851806,0.5761,0.0494,0.5302,DJF
1,5,SGDRegressor,0.5593311730117196,0.5947420608947065,2.1810349819373114,0.0258104801177978,0.5677,0.0434,0.5376,DJF
1,5,ElasticNetCV,0.5551598166271741,0.5909059027910619,2.191333470167161,0.1515862941741943,0.5646,0.0446,0.5256,DJF
1,5,LassoCV,0.54809834343527,0.5844118694092215,2.208657799583768,0.1654133796691894,,,,DJF
1,5,BayesianRidge,0.5479853981986431,0.5843080001291092,2.2089337908190343,0.0209739208221435,,,,DJF
1,5,Ridge,0.5383844707694455,0.5754785757969008,2.2322697385791628,0.0180802345275878,,,,DJF
1,5,RidgeCV,0.533828231796067,0.5712884631695974,2.2432591659095924,0.0212781429290771,,,,DJF
1,5,LassoLarsIC,0.5330316116699827,0.5705558571607876,2.2451750504944683,0.0279097557067871,,,,DJF
1,5,LassoLarsCV,0.5330316116699827,0.5705558571607876,2.2451750504944683,0.0634222030639648,,,,DJF
1,5,TransformedTargetRegressor,0.5330316116699032,0.5705558571607146,2.245175050494659,0.0188941955566406,,,,DJF
1,5,LinearRegression,0.5330316116699032,0.5705558571607146,2.245175050494659,0.0198159217834472,,,,DJF
1,5,CatBoostRegressor,0.5142000923718512,0.5532375849491131,2.2899984086264618,4.041024923324585,,,,DJF
1,5,LarsCV,0.4972292561095085,0.5376304766007087,2.329654221452583,0.058640718460083,,,,DJF
1,5,ExtraTreesRegressor,0.4729197121462341,0.5152743781344831,2.385310136927456,1.7024688720703125,,,,DJF
1,5,HistGradientBoostingRegressor,0.4707154799481835,0.5132472717380616,2.39029257701184,0.5104138851165771,,,,DJF
1,5,GradientBoostingRegressor,0.4703405430150555,0.5129024636656314,2.3911390501989627,1.785125732421875,,,,DJF
1,5,GammaRegressor,0.4691762521141698,0.5118317318549954,2.3937656937460545,0.020836591720581,,,,DJF
1,5,LGBMRegressor,0.4635473212006187,0.5066551257469976,2.406424141069172,0.1783626079559326,,,,DJF
1,5,OrthogonalMatchingPursuitCV,0.4423319880339951,0.4871445961384062,2.453546727908948,0.0264503955841064,,,,DJF
1,5,TweedieRegressor,0.436062317251911,0.4813787381870252,2.4673003725486105,0.0189707279205322,,,,DJF
1,5,KNeighborsRegressor,0.4352083097152253,0.4805933562559661,2.4691678625694524,0.0248785018920898,,,,DJF
1,5,XGBRegressor,0.4113321811853621,0.4586358451972526,2.520818711526636,0.7101418972015381,,,,DJF
1,5,BaggingRegressor,0.3813439872083698,0.4310574168076972,2.5842295350891256,0.3785851001739502,,,,DJF
1,5,MLPRegressor,0.3763511584451202,0.4264657974986373,2.5946365200273567,2.0982766151428223,,,,DJF
1,5,RandomForestRegressor,0.3592390192927448,0.4107287409567206,2.629992410951328,3.594112634658813,,,,DJF
1,5,OrthogonalMatchingPursuit,0.3410394922522113,0.3939916759105157,2.6670807228086764,0.0161206722259521,,,,DJF
1,5,ElasticNet,0.3410048757074699,0.3939598410524053,2.6671507754943917,0.0169234275817871,,,,DJF
1,5,RANSACRegressor,0.2629778107456167,0.3222028080964154,2.8206340752852683,0.1628584861755371,,,,DJF
1,5,AdaBoostRegressor,0.2098581294999053,0.2733516726650915,2.920512064777918,0.6872577667236328,,,,DJF
1,5,Lasso,0.2057887962772312,0.2696093394335251,2.928022914895642,0.0187678337097167,,,,DJF
1,5,LassoLars,0.2057421723528468,0.2695664620744931,2.928108857976568,0.0181014537811279,,,,DJF
1,5,DecisionTreeRegressor,0.0743527955052387,0.1487351601521391,3.1610343377813086,0.0725045204162597,,,,DJF
1,5,QuantileRegressor,-0.1227382370967202,-0.0325182001871624,3.481334255137115,0.4276032447814941,,,,DJF
1,5,ExtraTreeRegressor,-0.1381874572347281,-0.0467259651355089,3.5052045300277976,0.0324697494506835,,,,DJF
1,5,DummyRegressor,-0.2941833135976173,-0.1901864401835231,3.7376993462808135,0.0146865844726562,,,,DJF
1,5,PassiveAggressiveRegressor,-0.3084566132715591,-0.2033127782765231,3.758254013106152,0.0206131935119628,,,,DJF
1,5,Lars,-36270.10808830627,-33355.46547406737,625.729857471681,0.0234737396240234,,,,DJF
1,5,HuberRegressor,0.7531142660825227,0.7742256352536134,1.982612798561869,0.0862317085266113,0.756,0.0588,0.7006,JJA
