estacao,cluster_id,latitude,longitude
A605,9,-22.9064,-43.1334
A606,12,-22.9753,-42.0214
A607,11,-21.7147,-41.3439
A608,12,-22.3761,-41.8119
A609,9,-22.4514,-44.445
A610,9,-22.4647,-43.2914
A611,9,-22.3581,-43.6956
A612,12,-20.2708,-40.3058
A613,12,-19.9883,-40.5794
A614,12,-19.3569,-40.0686
A615,11,-20.6364,-40.7419
A616,12,-18.6761,-39.8642
A617,11,-20.7506,-41.4889
A618,5,-22.4486,-42.9869
A619,9,-23.2236,-44.7269
A620,11,-22.0417,-41.0517
A621,9,-22.8614,-43.4114
A622,11,-21.1008,-41.0394
A623,12,-18.6953,-40.3906
A624,12,-22.3347,-42.6769
A625,9,-22.0983,-43.2083
A626,9,-22.6536,-44.0409
A627,9,-22.8675,-43.1019
A628,9,-22.9756,-44.3033
A629,12,-21.9386,-42.6008
A630,11,-21.9506,-42.0103
A631,12,-18.2914,-40.7364
A632,12,-19.4072,-40.5397
A633,11,-20.3856,-41.19
A634,11,-20.4669,-40.4039
A635,9,-22.3739,-44.7031
A636,9,-22.94,-43.4028
A637,9,-22.3472,-43.4178
A651,9,-22.9147,-43.1594
A652,9,-22.9883,-43.1906
A653,9,-22.9742,-43.2178
A654,9,-22.987,-43.3701
A655,9,-22.8947,-43.2914
A656,9,-22.9111,-43.2272
A657,11,-20.1042,-41.1069
A659,12,-22.6458,-42.4156
A667,12,-22.8711,-42.6089
A701,9,-23.4963,-46.6201
A705,8,-22.3581,-49.0289
A706,9,-22.7503,-45.6039
A707,7,-22.12,-51.4086
A708,10,-20.5844,-47.3825
A711,8,-21.9803,-47.8839
A712,5,-24.6717,-47.5458
A713,5,-23.4261,-47.5856
A714,5,-23.9819,-48.8858
A715,5,-23.8908,-47.9992
A716,8,-23.0006,-49.8433
A718,7,-22.3728,-50.9747
A725,8,-23.1017,-48.9411
A726,8,-22.7031,-47.6233
A727,8,-21.6661,-49.7347
A728,9,-23.0417,-45.5208
A729,7,-20.4033,-49.9661
A733,7,-20.165,-50.595
A734,7,-21.3192,-50.9303
A735,8,-21.0856,-49.9203
A736,8,-21.1331,-48.8406
A737,8,-21.8556,-48.7997
A738,9,-21.7806,-47.0753
A739,9,-22.415,-46.8053
A740,9,-23.2283,-45.4169
A741,8,-22.4711,-48.5575
A744,9,-22.9492,-46.5261
A745,9,-24.0478,-46.2633
A746,5,-24.9628,-48.4164
A747,8,-21.3383,-48.1139
A748,10,-20.5592,-48.545
A753,10,-20.3597,-47.7753
A755,9,-23.5239,-46.8694
A762,7,-21.4578,-51.5522
A763,8,-22.2353,-49.965
A764,8,-20.9481,-48.4714
A765,9,-23.8447,-46.1433
A766,5,-24.5331,-47.8642
A767,9,-23.8108,-45.4025
A768,7,-21.9272,-50.4903
A769,9,-22.6889,-45.0056
A770,9,-21.4611,-47.5794
A771,9,-23.7244,-46.6775
A801,3,-30.0536,-51.1747
A802,1,-32.0789,-52.1678
A803,2,-29.725,-53.7206
A804,2,-30.7506,-55.4014
A805,4,-27.8544,-53.7911
A806,4,-27.6025,-48.62
A807,5,-25.4486,-49.2306
A808,4,-29.3503,-49.7333
A809,2,-29.84,-57.0819
A810,2,-27.8906,-54.48
A811,1,-31.4033,-52.7008
A814,4,-28.5325,-49.3153
A815,4,-28.2756,-49.9347
A816,4,-26.4064,-52.8503
A817,5,-26.9136,-49.2681
A818,5,-25.0108,-50.8539
A819,5,-24.78,-50.0464
A820,6,-24.5333,-54.0192
A821,8,-23.5053,-49.9464
A822,6,-24.4339,-51.9539
A823,6,-25.5678,-51.0781
A824,6,-23.3903,-53.6358
A825,6,-24.1839,-53.0489
A826,2,-29.7092,-55.5256
A827,1,-31.3478,-54.0133
A828,4,-27.6578,-52.3058
A829,4,-28.7486,-50.0578
A830,2,-28.65,-56.0164
A831,2,-30.3686,-56.4372
A832,2,-30.3414,-54.3108
A833,2,-29.1916,-54.8857
A834,3,-30.0103,-50.1358
A835,6,-23.4053,-51.9328
A836,1,-32.5347,-53.3758
A837,4,-28.8592,-52.5424
A839,4,-28.2267,-52.4036
A840,3,-29.1644,-51.5342
A841,4,-27.1692,-51.5589
A842,6,-23.4153,-50.5778
A843,6,-25.6992,-53.0953
A844,4,-28.2224,-51.5128
A845,4,-28.1269,-49.4797
A846,6,-25.6019,-54.4831
A847,5,-25.4944,-48.3261
A848,6,-26.2866,-53.6331
A849,6,-22.6394,-52.8903
A850,6,-22.6583,-52.1344
A851,5,-26.0814,-48.6417
A852,2,-28.4172,-54.9625
A853,2,-28.6033,-53.6736
A854,4,-27.3956,-53.4294
A855,6,-25.7219,-53.7481
A856,4,-27.9203,-53.3181
A857,4,-26.7864,-53.5142
A858,4,-26.9386,-52.3981
A859,4,-26.8192,-50.9856
A860,4,-27.2886,-50.6042
A861,5,-26.9375,-50.1456
A862,5,-26.2486,-49.5742
A863,5,-27.4183,-49.6469
A864,5,-26.3936,-50.3633
A865,4,-27.8022,-50.3356
A866,4,-28.6044,-48.8133
A867,4,-28.9314,-49.4979
A868,5,-26.9508,-48.7619
A869,6,-23.3592,-52.9319
A870,4,-27.6786,-49.0419
A871,8,-23.7733,-50.1806
A872,5,-24.2803,-50.2103
A873,5,-25.5089,-48.8086
A874,5,-25.8356,-50.3689
A875,4,-26.3986,-51.3536
A876,4,-26.4172,-52.3486
A878,3,-31.2483,-50.9064
A879,3,-29.3689,-50.8272
A880,4,-28.5136,-50.8828
A881,2,-31.0025,-54.6181
A882,3,-29.4492,-51.8233
A883,2,-28.6533,-53.1119
A884,3,-29.6742,-51.0642
A886,2,-29.0894,-53.8267
A889,2,-29.7022,-54.6944
A893,3,-30.5431,-52.5247
A894,4,-28.7047,-51.8708
A895,4,-27.0853,-52.6357
A897,4,-29.0492,-50.1497
A898,4,-27.3886,-51.2158
B803,6,-24.5708,-52.8003
B804,6,-25.3714,-52.4008
B806,5,-25.3225,-49.1577
B807,3,-30.1861,-51.1781
B808,3,-29.9514,-51.1242
B809,3,-29.8139,-51.1567
B810,3,-30.0967,-51.6739
B811,3,-30.4942,-51.6633
B812,3,-29.9656,-51.6256
B813,3,-30.1245,-52.0508
B814,3,-29.7587,-51.4362
B816,3,-29.4791,-51.0133
B817,4,-28.8742,-50.9757
B818,3,-29.1962,-51.1863
B819,3,-29.6558,-50.6181
B820,3,-29.4422,-50.5603
B821,1,-30.8586,-53.1556
B822,2,-30.0184,-52.9388
B823,1,-31.5746,-53.3883
B825,3,-30.1861,-51.1783
B827,1,-31.3055,-54.0133
B828,1,-31.8747,-54.1196
B829,1,-33.5339,-53.3497
F501,10,-19.98,-43.9586
